X1,X2,class
-784.5,77,1
-65,-765.5,1
45.5,281,1
-113.5,-240.5,1
564,483,1
-342,-283.5,1
-163.5,931.5,0
783.5,740.5,0
-18,189,1
120,-290,1
-868.5,952.5,0
435.5,422.5,1
625,610.5,0
972.5,-506,0
-410,-371.5,1
433,974.5,0
945.5,734.5,0
893.5,982,0
-396,311,1
246.5,963,0
762.5,-134.5,1
-33.5,955,0
-264,2,1
-571.5,979.5,0
-919,-624,0
-952.5,-369,0
353,-253,1
152,887.5,0
410.5,-900,0
-893.5,-703,0
763.5,699,0
-822,206.5,0
-411.5,-407.5,1
551.5,91,1
-448.5,-392,1
960.5,-511.5,0
896.5,-418,0
422,613.5,1
-974.5,134,0
160.5,-114.5,1
984,-116,0
562.5,386,1
-948.5,666.5,0
334.5,774.5,0
851,-380,0
-835,-73,0
42,-938,0
-352.5,-131,1
569.5,348,1
982.5,714.5,0
-728,-606,0
185,26,1
-771.5,-85,1
426.5,-30,1
-635,-158.5,1
426,-541,1
892.5,-305.5,0
365,929.5,0
-998,138,0
354,705,1
-749,-547,0
-956,-145.5,0
807.5,509.5,0
-265,-688,1
255,-53.5,1
92.5,-138.5,1
-359,-263,1
-499,-602.5,1
353.5,764,0
735,-968,0
208.5,410,1
654.5,-778,0
721.5,-314.5,1
-861.5,-704,0
243.5,539,1
560,166,1
-306,-164,1
-739.5,905.5,0
775.5,672,0
204.5,-289.5,1
762.5,419.5,0
194.5,-378.5,1
609.5,-284.5,1
642,971.5,0
-231.5,-19,1
954.5,256.5,0
822.5,127.5,0
-538,-728.5,0
-589.5,-450.5,1
13.5,999,0
-726.5,-588,0
814.5,-800,0
-528,512.5,1
751,265,1
-949,339.5,0
-619,912,0
790.5,711,0
610.5,-97,1
463,67,1
-649.5,370.5,1
272,-794.5,0
-111,836.5,0
-541.5,-927,0
838,-50,0
-560,-618.5,0
-908.5,-371.5,0
333,258,1
245,438,1
-388.5,-308.5,1
95,-821,0
144,-266.5,1
-83,548,1
470.5,360,1
-716,365,0
-779,-113.5,1
-773,-862.5,0
475.5,-709.5,0
-568.5,-887,0
-243,-872,0
-864.5,109.5,0
680,777,0
-251,-620.5,1
-185.5,135,1
-561,547,1
60.5,331.5,1
212.5,-379,1
687,298.5,1
-653.5,-714,0
668.5,443.5,0
433,-620.5,1
-57,-636,1
-524.5,528.5,1
707.5,462,0
-76,305,1
-630,-852.5,0
597,82,1
435,-702.5,0
-669,-595,0
651.5,-572,0
-205.5,-823,0
415,235.5,1
-261.5,772,0
591.5,663.5,0
-23.5,245.5,1
-602.5,-779.5,0
758,-51.5,1
-539.5,-269.5,1
-306,855.5,0
405,349.5,1
-14.5,310,1
-712.5,946.5,0
246,303,1
-512,327,1
808,702,0
980,-842.5,0
-378,-453.5,1
-773.5,508,0
-97.5,-18,1
-55.5,46.5,1
317.5,314.5,1
-231.5,514.5,1
671.5,-889,0
471.5,-732.5,0
157.5,-648,1
-874.5,447,0
-739.5,410,0
-178,-667,1
627.5,-335.5,1
-112,-593,1
393,995,0
-421,83.5,1
137.5,43.5,1
-948,-854,0
475.5,-103.5,1
-260.5,320,1
890.5,487.5,0
-346.5,429,1
245,118,1
-478.5,692,0
-294,644.5,1
548.5,543.5,1
318.5,-237.5,1
227,-666.5,1
505.5,-638,0
958.5,625.5,0
-172.5,395,1
742.5,-725.5,0
200,-252,1
-28.5,435.5,1
-599,-712.5,0
546,538,1
770.5,-624.5,0
551,116,1
413.5,-470,1
25.5,644.5,1
460,108,1
578,580,0
-147.5,568,1
-488,197,1
-532.5,-610.5,0
-270.5,984,0
675.5,395,1
-441,588,1
-709,775,0
408.5,832.5,0
374,974.5,0
-394,830,0
309.5,835.5,0
-712.5,527.5,0
461.5,-932,0
-814.5,929,0
402.5,301.5,1
-656,125.5,1
746,777.5,0
