X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,y
153.7821621,23648.95337,2.186905962,0.15524747,16,-153.7821621,-23648.95337,-2.186905962,-0.15524747,-909.5340119,352.9548379,-1503,-1435,6153,604,1787,559,1426,-562,2639,260,3395,-5069,3493,-2280,3350,8763,-385,528,272,-1856,1390,-4293,4171,-3493,-290,-1017,9,2.03396E+15
645.9912515,417304.6971,2.810226637,-0.923395792,35,-153.7821621,-23648.95337,-2.810226637,0.923395792,343.752475,83.21248426,-4072,3580,4793,323,-2318,155,-1369,-4956,-4499,1374,3,4276,-3491,-1576,-5323,-6119,813,1130,-265,-3587,-2479,-1284,-2127,2369,2657,-1481,-150,4.69447E+19
-412.0604569,169793.8202,2.61496094,0.489764226,-25,-153.7821621,-23648.95337,-2.61496094,-0.489764226,-776.3311214,-192.6373468,-3433,-2418,440,279,1555,6064,-435,2363,2331,-1619,-3514,-8360,3576,77,7563,-1626,-6802,-312,9,4104,-4634,-1637,-4228,527,-1773,-1676,67,-2.0171E+18
35.88435101,1287.686648,1.554905096,-0.970387971,-75,-153.7821621,-23648.95337,-1.554905096,0.970387971,696.7362,-689.453955,-1758,-4481,-5532,-838,-2480,9114,-1208,1670,6825,354,-3479,60,4198,-3943,5715,-7251,-7055,162,-215,749,-3645,-3202,-1173,-3248,1888,1295,-49,76291613599
-85.07349634,7237.499779,1.929794282,0.247883242,44,-153.7821621,-23648.95337,-1.929794282,-0.247883242,-527.8050759,-735.5681892,3288,-6565,1691,-221,-3703,-2034,-1471,-2733,-5397,1439,1838,-5758,-2204,3722,-2255,-3374,6748,-1214,-360,2150,507,-1972,-7497,-2427,4368,670,43,-3.22526E+13
186.4641572,34768.88192,2.270595363,-0.895783444,-67,-153.7821621,-23648.95337,-2.270595363,0.895783444,917.2555278,-324.8612044,-607,3848,1620,-530,527,2801,-1645,1043,6952,-506,-2983,-2229,-5132,-5187,5985,9139,-5939,943,-224,-364,-5354,3083,8726,3862,4131,2520,-83,7.83732E+15
312.8649145,97884.45474,2.495356863,-0.962031673,8,-153.7821621,-23648.95337,-2.495356863,0.962031673,-460.2288145,-886.7035498,1249,-2747,-6702,291,-426,1486,2346,-4688,1966,1067,-3351,-2035,997,-1272,-795,6019,4934,-905,-100,765,-7541,389,-1644,-178,-1671,72,-40,2.93426E+17
860.923764,741189.7274,2.934964696,0.12703273,13,-153.7821621,-23648.95337,-2.934964696,-0.12703273,409.2388601,-950.9194871,2875,-17,-1840,-1108,-1625,2999,-1376,4677,59,762,-3849,7170,382,3358,-7432,-1012,1373,-531,145,-1051,1873,3848,-5198,585,-3354,-2510,-50,3.50552E+20
927.5471799,860343.771,2.967336009,-0.70139097,44,-153.7821621,-23648.95337,-2.967336009,0.70139097,528.4171336,601.9548156,-745,-6396,990,51,-2768,-4629,1675,4334,-1475,478,1289,-2794,-5264,-190,2206,2304,-3405,23,400,2168,-6104,4540,-43,2512,-956,1497,126,5.9068E+20
978.1288435,956736.0345,2.990396066,-0.888253146,-18,-153.7821621,-23648.95337,-2.990396066,0.888253146,419.5781965,833.8082857,1577,-1410,-1246,387,-2975,-3005,-1343,159,5347,-240,-2867,-2048,3720,6689,7643,-2906,6114,812,-155,3352,5696,-2514,-2624,603,-3122,-2055,50,8.56589E+20
35.50963959,1260.934504,1.550346264,-0.814647079,-86,-153.7821621,-23648.95337,-1.550346264,0.814647079,-693.7464954,934.6169633,1638,-6350,2971,46,304,-3343,-2079,1067,-4433,231,-2061,-3127,-4384,5617,-673,2685,-1097,58,-380,2121,7538,4375,2409,3902,-1569,2267,-154,72007673896
-73.5692371,5412.432648,1.866696253,0.966853645,-50,-153.7821621,-23648.95337,-1.866696253,-0.966853645,624.8755187,54.82191576,-510,-5865,6778,1410,-1393,4281,-1572,4015,3736,597,2219,-1537,-5113,-7281,-2092,6504,7163,1131,239,-1079,-6812,-2390,-3079,2711,-3626,-1906,63,-1.16647E+13
-343.4853673,117982.1975,2.535908241,0.868301585,-1,-153.7821621,-23648.95337,-2.535908241,-0.868301585,367.05134,922.2386779,-1477,6982,-6625,366,-3462,4935,1315,4313,4809,1116,3612,834,5175,-5960,-3962,2860,489,-819,121,1512,3208,2090,3931,1269,-2953,944,-24,-5.64102E+17
-940.6916617,884900.8023,2.973447294,0.976904211,-9,-153.7821621,-23648.95337,-2.973447294,-0.976904211,-311.5872934,409.7844568,929,852,-6374,911,4035,-3881,1499,-2221,2693,-308,-253,-8463,-553,-6448,-7220,-5144,-3421,1054,280,4862,2089,-178,6458,659,5076,414,34,-6.51825E+20
-624.9215751,390526.975,2.795825519,-0.252596602,-76,-153.7821621,-23648.95337,-2.795825519,0.252596602,-864.2632765,334.699209,722,2465,-2159,-1293,-2935,-6321,-1949,928,-3679,-563,2597,-7841,5125,4140,-6478,-6807,524,186,221,-3225,1489,346,-6591,-36,1801,1088,-78,-3.72202E+19
327.196755,107057.7165,2.514808988,0.453883673,39,-153.7821621,-23648.95337,-2.514808988,-0.453883673,-744.0207563,-939.139082,-1162,8823,1453,-1324,1527,-3250,-636,2228,5492,1434,1050,-1395,-597,-4090,-2503,-4504,6965,517,-116,4128,736,-4471,652,3333,-2811,-981,-117,4.01479E+17
-645.4890855,416656.1594,2.809888903,0.994151564,-9,-153.7821621,-23648.95337,-2.809888903,-0.994151564,-16.7773226,690.1547253,1754,5585,-1008,-42,-592,1317,576,-2600,2103,-1389,-2701,1008,-1022,94,-748,-4478,-3415,-361,256,-874,-4774,-2372,8545,-2604,880,1388,80,-4.66898E+19
-198.4165445,39369.12514,2.297577882,0.476093726,44,-153.7821621,-23648.95337,-2.297577882,-0.476093726,-15.81167466,751.7609547,2303,-5548,1837,-1048,-3299,-6951,-1916,4276,-5751,-1413,-1107,5489,-3437,6214,-421,5045,3336,276,22,-4429,-5096,-321,-7223,992,-3462,-1450,80,-1.21072E+16
203.5789298,41444.38067,2.308732827,0.584766883,-71,-153.7821621,-23648.95337,-2.308732827,-0.584766883,644.0127472,797.3205354,-2739,-4978,-696,179,1307,-7766,1734,-4075,3003,-616,2630,-3552,610,-3646,-736,-4804,1989,-375,-313,-922,6618,-3278,5381,453,2976,-978,-59,1.4492E+16
521.2961391,271749.6647,2.717084508,-0.206739593,76,-153.7821621,-23648.95337,-2.717084508,0.206739593,807.4792538,-74.67948957,-1645,-5794,5121,314,3301,-4699,-2398,-5068,-1750,-499,455,5053,-2257,-680,818,6224,-1439,821,190,1586,-6777,-2197,8161,-2217,-3842,1821,94,1.04614E+19
